"","ob_time","hour","day","month","wind_speed","air_temperature","rltv_hum","visibility","Site"
"1","2020-01-01 00:00:00",0,1,1,7,5.4,90.5,NA,1090
"2","2020-01-01 01:00:00",1,1,1,6,6,92.3,NA,1090
"3","2020-01-01 02:00:00",2,1,1,5,5.9,90.7,NA,1090
"4","2020-01-01 03:00:00",3,1,1,5,5.9,90.7,NA,1090
"5","2020-01-01 04:00:00",4,1,1,4,6.1,90.8,NA,1090
"6","2020-01-01 05:00:00",5,1,1,3,5.9,90.7,NA,1090
"7","2020-01-01 06:00:00",6,1,1,6,5.8,90.8,NA,1090
"8","2020-01-01 07:00:00",7,1,1,7,2.7,91.1,NA,1090
"9","2020-01-01 08:00:00",8,1,1,6,3.9,88.2,NA,1090
"10","2020-01-01 09:00:00",9,1,1,8,3,93,NA,1090
"11","2020-01-01 10:00:00",10,1,1,5,4.5,88.5,NA,1090
"12","2020-01-01 11:00:00",11,1,1,5,5.3,85.9,NA,1090
"13","2020-01-01 12:00:00",12,1,1,6,6.4,83.5,NA,1090
"14","2020-01-01 13:00:00",13,1,1,6,6.9,83.8,NA,1090
"15","2020-01-01 14:00:00",14,1,1,5,7,85.3,NA,1090
"16","2020-01-01 15:00:00",15,1,1,7,6.7,86.6,NA,1090
"17","2020-01-01 16:00:00",16,1,1,5,4,86.7,NA,1090
"18","2020-01-01 17:00:00",17,1,1,4,2.9,91.1,NA,1090
"19","2020-01-01 18:00:00",18,1,1,8,4,91.6,NA,1090
"20","2020-01-01 19:00:00",19,1,1,7,4.7,91.9,NA,1090
"21","2020-01-01 20:00:00",20,1,1,9,4.9,90.4,NA,1090
"22","2020-01-01 21:00:00",21,1,1,8,5.6,92.2,NA,1090
"23","2020-01-01 22:00:00",22,1,1,9,6.2,89.3,NA,1090
"24","2020-01-01 23:00:00",23,1,1,8,6.3,89.4,NA,1090
"25","2020-01-02 00:00:00",0,2,1,8,4.6,93.5,NA,1090
"26","2020-01-02 01:00:00",1,2,1,8,4.7,95.2,NA,1090
"27","2020-01-02 02:00:00",2,2,1,8,4.4,93.3,NA,1090
"28","2020-01-02 03:00:00",3,2,1,9,4.4,90.1,NA,1090
"29","2020-01-02 04:00:00",4,2,1,11,4.6,90.2,NA,1090
"30","2020-01-02 05:00:00",5,2,1,10,4.7,88.6,NA,1090
"31","2020-01-02 06:00:00",6,2,1,10,4.3,90,NA,1090
"32","2020-01-02 07:00:00",7,2,1,9,3.9,91.6,NA,1090
"33","2020-01-02 08:00:00",8,2,1,12,4.4,90.1,NA,1090
"34","2020-01-02 09:00:00",9,2,1,13,4.6,90.2,NA,1090
"35","2020-01-02 10:00:00",10,2,1,9,5,90.4,NA,1090
"36","2020-01-02 11:00:00",11,2,1,8,6.6,88,NA,1090
"37","2020-01-02 12:00:00",12,2,1,9,7.3,85.5,NA,1090
"38","2020-01-02 13:00:00",13,2,1,15,9,82.5,NA,1090
"39","2020-01-02 14:00:00",14,2,1,19,9.2,81.4,NA,1090
"40","2020-01-02 15:00:00",15,2,1,14,9.5,80.2,NA,1090
"41","2020-01-02 16:00:00",16,2,1,18,10.1,79.4,NA,1090
"42","2020-01-02 17:00:00",17,2,1,17,9.1,90.6,NA,1090
"43","2020-01-02 18:00:00",18,2,1,14,9.3,93.3,NA,1090
"44","2020-01-02 19:00:00",19,2,1,14,8.8,91.8,NA,1090
"45","2020-01-02 20:00:00",20,2,1,9,8.9,93.2,NA,1090
"46","2020-01-02 21:00:00",21,2,1,20,10.1,87,NA,1090
"47","2020-01-02 22:00:00",22,2,1,17,9.7,89.5,NA,1090
"48","2020-01-02 23:00:00",23,2,1,14,9.1,90.6,NA,1090
"49","2020-01-03 00:00:00",0,3,1,16,9,91.9,NA,1090
"50","2020-01-03 01:00:00",1,3,1,15,8.8,93.1,NA,1090
"51","2020-01-03 02:00:00",2,3,1,13,8.4,95.7,NA,1090
"52","2020-01-03 03:00:00",3,3,1,14,7.6,85.7,NA,1090
"53","2020-01-03 04:00:00",4,3,1,15,7.2,81.2,NA,1090
"54","2020-01-03 05:00:00",5,3,1,15,7,72.6,NA,1090
"55","2020-01-03 06:00:00",6,3,1,9,6.3,76,NA,1090
