areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-06-22,227,471045
overview,United Kingdom,K02000001,2021-06-21,223,470818
overview,United Kingdom,K02000001,2021-06-20,203,470595
overview,United Kingdom,K02000001,2021-06-19,211,470392
overview,United Kingdom,K02000001,2021-06-18,232,470181
overview,United Kingdom,K02000001,2021-06-17,237,469949
overview,United Kingdom,K02000001,2021-06-16,224,469712
overview,United Kingdom,K02000001,2021-06-15,227,469488
overview,United Kingdom,K02000001,2021-06-14,220,469261
overview,United Kingdom,K02000001,2021-06-13,222,469041
overview,United Kingdom,K02000001,2021-06-12,178,468819
overview,United Kingdom,K02000001,2021-06-11,177,468641
overview,United Kingdom,K02000001,2021-06-10,200,468464
overview,United Kingdom,K02000001,2021-06-09,188,468264
overview,United Kingdom,K02000001,2021-06-08,188,468076
overview,United Kingdom,K02000001,2021-06-07,174,467888
overview,United Kingdom,K02000001,2021-06-06,153,467714
overview,United Kingdom,K02000001,2021-06-05,124,467561
overview,United Kingdom,K02000001,2021-06-04,124,467437
overview,United Kingdom,K02000001,2021-06-03,123,467313
overview,United Kingdom,K02000001,2021-06-02,127,467190
overview,United Kingdom,K02000001,2021-06-01,154,467063
overview,United Kingdom,K02000001,2021-05-31,123,466909
overview,United Kingdom,K02000001,2021-05-30,112,466786
overview,United Kingdom,K02000001,2021-05-29,102,466674
overview,United Kingdom,K02000001,2021-05-28,138,466572
overview,United Kingdom,K02000001,2021-05-27,124,466434
overview,United Kingdom,K02000001,2021-05-26,129,466310
overview,United Kingdom,K02000001,2021-05-25,132,466181
overview,United Kingdom,K02000001,2021-05-24,136,466049
overview,United Kingdom,K02000001,2021-05-23,114,465913
overview,United Kingdom,K02000001,2021-05-22,120,465799
overview,United Kingdom,K02000001,2021-05-21,119,465679
overview,United Kingdom,K02000001,2021-05-20,130,465560
overview,United Kingdom,K02000001,2021-05-19,125,465430
overview,United Kingdom,K02000001,2021-05-18,125,465305
overview,United Kingdom,K02000001,2021-05-17,101,465180
overview,United Kingdom,K02000001,2021-05-16,78,465079
overview,United Kingdom,K02000001,2021-05-15,90,465001
overview,United Kingdom,K02000001,2021-05-14,93,464911
overview,United Kingdom,K02000001,2021-05-13,104,464818
overview,United Kingdom,K02000001,2021-05-12,118,464714
overview,United Kingdom,K02000001,2021-05-11,105,464596
overview,United Kingdom,K02000001,2021-05-10,103,464491
overview,United Kingdom,K02000001,2021-05-09,102,464388
overview,United Kingdom,K02000001,2021-05-08,109,464286
overview,United Kingdom,K02000001,2021-05-07,102,464177
overview,United Kingdom,K02000001,2021-05-06,120,464075
overview,United Kingdom,K02000001,2021-05-05,117,463955
overview,United Kingdom,K02000001,2021-05-04,101,463838
overview,United Kingdom,K02000001,2021-05-03,123,463737
overview,United Kingdom,K02000001,2021-05-02,119,463614
overview,United Kingdom,K02000001,2021-05-01,100,463495
overview,United Kingdom,K02000001,2021-04-30,110,463395
overview,United Kingdom,K02000001,2021-04-29,100,463285
overview,United Kingdom,K02000001,2021-04-28,109,463185
overview,United Kingdom,K02000001,2021-04-27,166,463076
overview,United Kingdom,K02000001,2021-04-26,132,462910
overview,United Kingdom,K02000001,2021-04-25,138,462778
overview,United Kingdom,K02000001,2021-04-24,128,462640
overview,United Kingdom,K02000001,2021-04-23,155,462512
overview,United Kingdom,K02000001,2021-04-22,119,462357
overview,United Kingdom,K02000001,2021-04-21,171,462238
overview,United Kingdom,K02000001,2021-04-20,134,462067
overview,United Kingdom,K02000001,2021-04-19,177,461933
overview,United Kingdom,K02000001,2021-04-18,141,461756
overview,United Kingdom,K02000001,2021-04-17,158,461615
overview,United Kingdom,K02000001,2021-04-16,157,461457
overview,United Kingdom,K02000001,2021-04-15,161,461300
overview,United Kingdom,K02000001,2021-04-14,196,461139
overview,United Kingdom,K02000001,2021-04-13,181,460943
overview,United Kingdom,K02000001,2021-04-12,205,460762
overview,United Kingdom,K02000001,2021-04-11,202,460557
overview,United Kingdom,K02000001,2021-04-10,183,460355
overview,United Kingdom,K02000001,2021-04-09,204,460172
overview,United Kingdom,K02000001,2021-04-08,206,459968
overview,United Kingdom,K02000001,2021-04-07,235,459762
overview,United Kingdom,K02000001,2021-04-06,223,459527
overview,United Kingdom,K02000001,2021-04-05,234,459304
overview,United Kingdom,K02000001,2021-04-04,196,459070
overview,United Kingdom,K02000001,2021-04-03,222,458874
overview,United Kingdom,K02000001,2021-04-02,237,458652
overview,United Kingdom,K02000001,2021-04-01,233,458415
overview,United Kingdom,K02000001,2021-03-31,269,458182
overview,United Kingdom,K02000001,2021-03-30,256,457913
overview,United Kingdom,K02000001,2021-03-29,250,457657
overview,United Kingdom,K02000001,2021-03-28,272,457407
overview,United Kingdom,K02000001,2021-03-27,271,457135
overview,United Kingdom,K02000001,2021-03-26,298,456864
overview,United Kingdom,K02000001,2021-03-25,338,456566
overview,United Kingdom,K02000001,2021-03-24,348,456228
overview,United Kingdom,K02000001,2021-03-23,366,455880
overview,United Kingdom,K02000001,2021-03-22,360,455514
overview,United Kingdom,K02000001,2021-03-21,357,455154
overview,United Kingdom,K02000001,2021-03-20,364,454797
overview,United Kingdom,K02000001,2021-03-19,381,454433
overview,United Kingdom,K02000001,2021-03-18,449,454052
overview,United Kingdom,K02000001,2021-03-17,446,453603
overview,United Kingdom,K02000001,2021-03-16,440,453157
overview,United Kingdom,K02000001,2021-03-15,500,452717
overview,United Kingdom,K02000001,2021-03-14,425,452217
overview,United Kingdom,K02000001,2021-03-13,461,451792
overview,United Kingdom,K02000001,2021-03-12,480,451331
overview,United Kingdom,K02000001,2021-03-11,550,450851
overview,United Kingdom,K02000001,2021-03-10,567,450301
overview,United Kingdom,K02000001,2021-03-09,579,449734
overview,United Kingdom,K02000001,2021-03-08,576,449155
overview,United Kingdom,K02000001,2021-03-07,535,448579
overview,United Kingdom,K02000001,2021-03-06,637,448044
overview,United Kingdom,K02000001,2021-03-05,599,447407
overview,United Kingdom,K02000001,2021-03-04,703,446808
overview,United Kingdom,K02000001,2021-03-03,714,446105
overview,United Kingdom,K02000001,2021-03-02,834,445391
overview,United Kingdom,K02000001,2021-03-01,821,444557
overview,United Kingdom,K02000001,2021-02-28,769,443736
overview,United Kingdom,K02000001,2021-02-27,741,442967
overview,United Kingdom,K02000001,2021-02-26,863,442226
overview,United Kingdom,K02000001,2021-02-25,968,441363
overview,United Kingdom,K02000001,2021-02-24,1020,440395
overview,United Kingdom,K02000001,2021-02-23,1119,439375
overview,United Kingdom,K02000001,2021-02-22,1119,438256
overview,United Kingdom,K02000001,2021-02-21,1155,437137
overview,United Kingdom,K02000001,2021-02-20,1087,435982
overview,United Kingdom,K02000001,2021-02-19,1271,434895
overview,United Kingdom,K02000001,2021-02-18,1336,433624
overview,United Kingdom,K02000001,2021-02-17,1408,432288
overview,United Kingdom,K02000001,2021-02-16,1492,430880
overview,United Kingdom,K02000001,2021-02-15,1501,429388
overview,United Kingdom,K02000001,2021-02-14,1534,427887
overview,United Kingdom,K02000001,2021-02-13,1426,426353
overview,United Kingdom,K02000001,2021-02-12,1507,424927
overview,United Kingdom,K02000001,2021-02-11,1678,423420
