PROBE_ID_REF,GENE_IDENTIFIER,GSM12587,GSM12588,GSM12589,GSM12590,GSM12591,GSM12592,GSM12593,GSM12594,GSM12595,GSM12596,GSM12597,GSM12598,GSM12599,GSM12600,GSM12601,GSM12602,GSM12603,GSM12604,GSM12605,GSM12606
A28102_at,GABRA3,106.4,82.5,88.9,96.2,58.4,53.5,76.7,37.6,41.2,86.7,82.7,151.5,115.7,40.7,61.9,43.9,94.4,250.5,76.4,153.3
AB000114_at,OMD,2.8,28.2,4.8,19.7,3.6,1.4,26.5,13.3,5.7,2.5,17,5.9,5.4,6.8,18.3,3.2,151.6,66.3,18.4,57.2
AB000115_at,IFI44L,444.2,193.9,235.5,949.2,103.2,178.3,114,129.5,158.8,132.4,427,95.1,744.1,59,197,101.2,133.5,87.6,151.8,90.7
AB000220_at,SEMA3C,90.6,66.7,49.3,78.1,62.5,63.9,74.9,67.3,77.9,50.9,78.8,77,85.7,56.3,57.4,37.2,90.9,70.1,53.2,85.9
AB000381_s_at,GML,8.7,52,7.7,10.2,9.9,4,7.9,28.5,7.7,7.8,6,49.5,23,7.6,1.5,38,9.7,37.5,3,23.9
AB000409_at,MKNK1,520.2,284.7,249.7,496,409.3,440.6,981.9,434.1,427.9,472.3,570.9,511,309.9,409,246.4,285.8,307.3,233.5,302.3,424.7
AB000410_s_at,OGG1,24.1,26.4,20.8,30.1,76.3,40.2,24.4,40.2,65.5,33.4,29.3,40.9,27.5,65.6,26.7,76.4,62.5,50.7,33.5,75.8
AB000449_at,VRK1,50.4,121,43.3,80.6,63.1,64.8,58.5,57.8,72.4,28.4,87.9,61.5,61.9,38,49.1,54.6,114.8,147.1,40.1,111.9
AB000450_at,VRK2,242.2,139.5,106.6,162.1,155,185.5,144.1,165.5,116.8,135.4,233.6,155.7,116.5,107.5,86.3,86,199.2,183.8,99.1,196.2
AB000460_at,FAM193A,960.8,411.5,529.2,699.2,621.1,646.9,636.3,861.5,779.4,602.2,1365.3,810.4,435.8,529.7,556,629,529.8,545.1,539.9,668.6
